                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5008,                 4.1659,                 1.4567,                0.00305,                0.69124,                0.24264,                0.15474,                 1.1984,                 3.5418,                 1.2251,              0.0003625,              0.0003625,              0.0003625
                      2,                 1.2662,                  2.556,                 1.2185,                0.58924,                0.48593,                0.49295,                0.31587,                 1.2178,                 2.8853,                 1.2216,              0.0007229,              0.0007229,              0.0007229
                      3,                 1.2374,                 2.2558,                 1.2225,                0.67216,                 0.4055,                0.55796,                0.33461,                 1.3222,                 2.6692,                 1.3196,              0.0010684,              0.0010684,              0.0010684
                      4,                 1.2385,                 2.0246,                 1.2258,                0.45102,                0.56057,                0.48749,                0.30936,                 1.1957,                 2.3388,                 1.3221,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.2089,                  1.862,                 1.2144,                0.47235,                0.67143,                0.57063,                0.36621,                  1.276,                 2.3335,                 1.3474,               0.001151,               0.001151,               0.001151
                      6,                   1.19,                 1.7895,                 1.1945,                0.60342,                0.62282,                0.64507,                0.40773,                 1.2146,                 1.9692,                 1.2772,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.1642,                 1.6652,                 1.1961,                0.71777,                0.76209,                0.75169,                0.48589,                 1.3111,                 1.2572,                 1.3965,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.0728,                 1.4207,                 1.1411,                0.80528,                0.72402,                0.76819,                 0.4952,                 1.2835,                 1.1484,                 1.3548,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.0655,                 1.3513,                 1.1451,                0.72233,                0.80956,                0.79854,                0.54662,                  1.168,                 1.0866,                 1.2659,               0.001052,               0.001052,               0.001052
                     10,                 1.0473,                 1.2225,                  1.106,                0.78046,                0.65823,                0.75271,                 0.4925,                 1.1937,                 1.1001,                 1.2872,              0.0010273,              0.0010273,              0.0010273
                     11,                0.99604,                 1.1566,                 1.0986,                0.66429,                0.78467,                0.79188,                0.52077,                 1.2331,                 1.0229,                 1.3124,              0.0010025,              0.0010025,              0.0010025
                     12,                0.96462,                 1.1367,                  1.081,                 0.7264,                0.82569,                0.81057,                0.54324,                 1.1509,                 0.9845,                 1.2675,             0.00097775,             0.00097775,             0.00097775
                     13,                0.97244,                 1.1122,                 1.0961,                0.76689,                0.83803,                0.86183,                0.57333,                 1.1878,                0.96422,                  1.262,               0.000953,               0.000953,               0.000953
                     14,                0.94246,                  1.013,                 1.0833,                0.76144,                0.82612,                0.77403,                0.52194,                 1.1561,                0.92485,                 1.2924,             0.00092825,             0.00092825,             0.00092825
                     15,                0.97011,                 1.0137,                 1.0929,                 0.7635,                0.81159,                0.77666,                0.51218,                 1.1463,                 1.0795,                  1.244,              0.0009035,              0.0009035,              0.0009035
                     16,                0.94453,                0.94641,                 1.0626,                0.72311,                0.84247,                0.83191,                0.55422,                 1.1927,                0.95648,                 1.2898,             0.00087875,             0.00087875,             0.00087875
                     17,                0.95353,                0.92138,                 1.0744,                0.84381,                0.80498,                0.87839,                0.61171,                 1.1363,                0.82214,                 1.2561,               0.000854,               0.000854,               0.000854
                     18,                 0.9004,                0.86373,                 1.0765,                0.85237,                0.80367,                0.90792,                 0.6431,                 1.1226,                0.77369,                 1.2853,             0.00082925,             0.00082925,             0.00082925
                     19,                0.85143,                0.85048,                 1.0407,                0.86679,                0.85737,                0.86576,                0.59276,                 1.1811,                0.80479,                 1.3062,              0.0008045,              0.0008045,              0.0008045
                     20,                0.86644,                0.80739,                 1.0476,                0.82722,                0.90091,                0.89324,                0.61395,                 1.0926,                0.76229,                 1.2518,             0.00077975,             0.00077975,             0.00077975
                     21,                0.85156,                0.76569,                  1.032,                0.89469,                  0.856,                0.88744,                0.59897,                 1.0883,                0.79717,                 1.2446,               0.000755,               0.000755,               0.000755
                     22,                0.87419,                0.77128,                 1.0573,                0.86783,                0.85047,                0.83661,                0.56459,                 1.1214,                0.80018,                 1.2748,             0.00073025,             0.00073025,             0.00073025
                     23,                0.81085,                0.74168,                 1.0137,                0.80667,                0.88057,                0.86459,                0.58515,                 1.0989,                0.80851,                 1.2509,              0.0007055,              0.0007055,              0.0007055
                     24,                0.81932,                0.73306,                 1.0158,                0.77092,                0.89917,                0.87794,                0.59735,                 1.0785,                0.81352,                 1.2112,             0.00068075,             0.00068075,             0.00068075
                     25,                0.79297,                0.72844,                 1.0116,                0.91379,                0.86462,                0.88786,                0.62531,                 1.0838,                0.71907,                 1.1794,               0.000656,               0.000656,               0.000656
                     26,                0.81153,                0.68897,                 1.0234,                0.83896,                0.86621,                0.85796,                0.60427,                 1.0676,                0.76894,                 1.1879,             0.00063125,             0.00063125,             0.00063125
                     27,                0.78337,                0.67919,                0.99622,                0.90126,                0.86992,                 0.8939,                0.64533,                 1.0315,                 0.7086,                 1.1934,              0.0006065,              0.0006065,              0.0006065
                     28,                0.81163,                 0.6652,                 1.0157,                0.84384,                0.89236,                0.84903,                0.60143,                 1.1032,                0.71005,                 1.2298,             0.00058175,             0.00058175,             0.00058175
                     29,                0.80735,                0.66491,                 1.0004,                0.86642,                0.88996,                0.89177,                0.63843,                 1.0808,                0.67109,                 1.2193,               0.000557,               0.000557,               0.000557
                     30,                0.75733,                0.62452,                0.98012,                0.84905,                0.88233,                0.88071,                0.61874,                 1.0658,                0.70034,                 1.2051,             0.00053225,             0.00053225,             0.00053225
                     31,                0.73576,                0.61153,                 0.9855,                0.95852,                0.86392,                0.92561,                0.64446,                 1.0775,                0.65615,                 1.2244,              0.0005075,              0.0005075,              0.0005075
                     32,                0.70614,                0.57865,                 0.9536,                0.86408,                0.88653,                0.90191,                0.63607,                 1.0716,                0.68404,                 1.2304,             0.00048275,             0.00048275,             0.00048275
                     33,                0.71461,                0.57156,                0.97874,                0.86336,                0.88287,                0.91308,                0.64694,                 1.1151,                0.70179,                 1.2328,               0.000458,               0.000458,               0.000458
                     34,                0.71616,                0.58749,                0.96276,                0.89559,                0.87455,                0.91274,                0.63303,                 1.0587,                0.63133,                 1.2114,             0.00043325,             0.00043325,             0.00043325
                     35,                0.69368,                0.58226,                0.96905,                0.85942,                0.87934,                0.93073,                0.70917,                 1.0136,                0.66717,                 1.1904,              0.0004085,              0.0004085,              0.0004085
                     36,                 0.7086,                0.57006,                 0.9558,                0.89725,                0.86953,                 0.9331,                0.68392,                 1.0435,                0.61702,                 1.2106,             0.00038375,             0.00038375,             0.00038375
                     37,                0.70075,                0.55242,                0.95676,                0.87466,                0.86716,                0.90367,                0.65394,                 1.0073,                0.65258,                 1.2209,               0.000359,               0.000359,               0.000359
                     38,                0.70134,                0.57097,                0.96478,                0.87142,                0.90075,                0.91072,                0.66611,                0.99133,                0.61645,                 1.1882,             0.00033425,             0.00033425,             0.00033425
                     39,                0.67304,                0.54419,                 0.9498,                0.92433,                0.87313,                 0.9174,                   0.66,                 1.0015,                0.61331,                 1.1923,              0.0003095,              0.0003095,              0.0003095
                     40,                0.65168,                0.54481,                0.96128,                0.89608,                0.88869,                0.92711,                0.65475,                 1.0119,                0.61196,                 1.1803,             0.00028475,             0.00028475,             0.00028475
                     41,                0.57051,                 0.4648,                0.89002,                0.92681,                0.86177,                0.92743,                0.67509,                 1.0248,                0.59703,                 1.2078,                0.00026,                0.00026,                0.00026
                     42,                0.58428,                 0.4706,                0.90468,                0.91878,                0.87731,                0.92761,                0.68455,                 1.0173,                0.58539,                 1.2011,             0.00023525,             0.00023525,             0.00023525
                     43,                0.54519,                 0.4552,                0.88845,                0.85444,                0.92014,                0.91287,                 0.6788,                  1.032,                0.60612,                 1.2092,              0.0002105,              0.0002105,              0.0002105
                     44,                0.54174,                 0.4352,                0.88989,                0.89118,                0.88545,                0.91219,                0.65787,                  1.044,                0.64842,                 1.2244,             0.00018575,             0.00018575,             0.00018575
                     45,                0.53523,                0.43692,                 0.8874,                0.90104,                0.88247,                0.92285,                0.67262,                 1.0282,                0.61437,                 1.2122,               0.000161,               0.000161,               0.000161
                     46,                0.50572,                0.42527,                0.88225,                0.89709,                0.89047,                0.92954,                0.66859,                 1.0301,                0.60289,                 1.2087,             0.00013625,             0.00013625,             0.00013625
                     47,                0.50757,                0.42178,                 0.8758,                 0.8819,                0.88883,                0.92427,                0.67662,                 1.0112,                0.60176,                 1.1955,              0.0001115,              0.0001115,              0.0001115
                     48,                0.49045,                0.41978,                0.87414,                0.90683,                0.85923,                0.91452,                0.66646,                 1.0222,                0.61195,                  1.206,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.47305,                0.40217,                 0.8586,                 0.9018,                0.86773,                0.91085,                0.66935,                 1.0269,                0.61081,                 1.2185,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.47535,                0.40396,                0.85034,                0.90309,                0.86899,                0.91071,                 0.6649,                 1.0253,                0.61595,                 1.2208,              3.725e-05,              3.725e-05,              3.725e-05
